,id,AIC 1 Mixture,AIC 2 Mixture,AIC 3 Mixture,BIC 1 Mixture,BIC 2 Mixture,BIC 3 Mixture,Experiment
0,1,12134.003954254946,12025.660435677137,11998.359652131028,12143.772927559032,12050.08286893735,12037.43554534737,1
1,2,11428.89808914368,10871.145906973466,10873.416801396188,11438.69753535825,10895.64452250989,10912.614586254467,1
2,3,12127.67151367222,11865.004318741281,11820.285337729727,12137.47297500031,11889.507972061507,11859.491183042088,1
3,4,11190.994362766449,10980.67827466951,10959.835444454817,11200.630023909358,11004.76742752678,10998.37808902645,1
4,5,10392.266952716898,10398.04281803439,10326.854349707177,10401.833603118106,10421.95944403741,10365.120951312008,1
5,6,9261.895164884183,9249.965695390074,9241.214146030834,9271.206045584919,9273.242897141912,9278.457668833775,1
6,7,12107.334094935124,11844.023707942215,11824.603282337723,12117.12546033062,11868.502121430955,11863.768743919705,1
7,8,10856.17159957218,10782.09335899782,10787.596099385693,10865.699369389306,10805.912783540633,10825.707178654193,1
8,9,9118.327095638557,9129.863007077576,8896.77608787997,9127.572568286456,9152.976688697325,8933.757978471569,1
9,10,12147.586121482287,11771.347231525338,11731.041298126805,12157.387582810377,11795.850884845564,11770.247143439166,1
10,11,11822.176598152664,11642.169812831262,11640.232059313043,11831.929127376447,11666.551135890715,11679.242176208169,1
11,12,10413.007235155841,10401.07441162804,10235.294640869888,10422.53038069345,10424.88227547206,10273.38722302032,1
12,13,11859.426561176433,11655.119231090961,11645.067883636817,11869.219949839679,11679.602702749075,11684.241438289799,1
13,14,11395.128488180313,11271.306180349398,11271.043888472455,11404.91985357581,11295.784593838138,11310.209350054438,1
14,15,11945.283274000896,11883.512919102324,11900.736472904442,11954.960084402592,11907.704945106561,11939.44371451122,1
15,16,12087.981514489155,11983.119928230666,11986.809685945276,12097.679647054421,12007.365259643833,12025.602216206344,1
16,17,11817.72207148361,11351.934976736055,11369.339908473981,11827.449678266516,11376.253993693319,11408.250335605604,1
17,18,9890.504217802805,9796.170549236438,9801.876014598885,9899.903218483129,9819.668050937247,9839.472017320179,1
18,19,9288.210457787474,9171.017285584428,9112.445959294639,9297.429156273809,9194.064031800266,9149.320753239977,1
19,20,11965.4768593328,11712.269477981896,11690.124431519056,11975.270247996046,11736.75294964001,11729.297986172038,1
20,21,11550.785681198868,11159.678917977106,11102.887687976789,11560.587142526958,11184.182571297331,11142.09353328915,1
21,22,11773.291671435582,11744.744061547348,11748.278796680279,11782.98343118611,11768.973460923668,11787.045835682391,1
22,23,11838.315543597135,11348.828916611685,11302.918335809332,11848.125045137058,11373.352670461494,11342.156341969026,1
23,24,11589.586492240054,11369.128397461758,11367.3884405727,11599.248240709347,11393.282768634988,11406.03543444987,1
24,25,10218.945329125105,10206.941265143338,10197.094562892333,10228.307038482686,10230.345538537289,10234.541400322654,1
25,26,12215.654206837953,11986.666973132144,11972.040809671256,12225.463708377876,12011.190726981953,12011.27881583095,1
26,27,11621.41189876839,11423.55611202374,11403.932686614637,11631.174721375675,11447.963168541952,11442.983977043777,1
27,28,11977.21844118317,11755.65691423143,11750.594135354004,11986.9955861023,11780.099776529256,11789.702715030528,1
28,29,11448.355726000711,11384.432575903873,11359.334232942021,11458.026095173005,11408.60849883461,11398.0157096312,1
29,30,12224.658522145526,12031.650514836268,12027.402406774545,12234.43974038582,12056.103560437004,12066.527279735723,1
30,31,11780.145016177357,11637.871847162682,11647.50239164965,11789.872622960263,11662.190864119946,11686.412818781273,1
31,32,7210.024483838279,7093.080284997914,7080.146814352637,7218.676782784589,7114.711032363689,7114.756010137878,1
32,33,11536.370382752499,11429.555469197778,11463.446630987659,11546.10633157044,11453.895341242629,11502.39042625942,1
33,34,11811.3849408711,11472.079011409158,11423.708416449359,11821.194442411022,11496.602765258967,11462.946422609053,1
34,35,12442.251057539655,12331.472587170363,12280.814335506302,12452.028202458787,12355.91544946819,12319.922915182826,1
35,36,12024.258437988428,11785.644840584517,11777.285391499861,12034.049803383925,11810.123254073256,11816.450853081844,1
36,37,10815.825373189326,10371.74971981509,10342.268337535705,10825.277839994043,10395.380886826884,10380.078204754574,1
37,38,11980.122892359354,11953.996218296219,11964.696038812075,11989.775982806466,11978.128944414002,12003.308400600528,1
38,39,11683.352532073213,11565.697311781027,11580.473204518148,11693.018595538786,11589.862470444958,11619.137458380437,1
39,40,11993.862486521903,11817.870911627902,11804.776479230986,12003.604669111124,11842.226368100955,11843.74520958787,1
40,41,11516.054522138158,11082.469613180001,11072.765558781117,11525.857996551471,11106.978299213284,11111.97945643437,1
41,42,11764.80756635057,11393.529877930618,11359.866020547506,11774.60499541923,11418.023450602268,11399.055736822145,1
42,43,6082.811602519012,6002.232705927692,5962.439744767008,6091.288251769091,6023.424329052889,5996.346341767324,1
43,44,11849.364441880312,11769.268036080251,11764.316256129943,11859.075259477533,11793.545080073302,11803.159526518823,1
44,45,11329.54445085255,11274.876465575939,11270.753465686234,11339.151461367768,11298.89399186398,11309.1815077471,1
45,46,12665.537805960672,12572.489859206558,12578.205899919483,12675.319024200966,12596.942904807294,12617.330772880661,1
46,47,10009.411411497149,10002.409925484608,9813.938989177565,10018.873447698114,10026.065015987018,9851.787133981421,1
47,48,12532.435886261606,12214.543817101956,12173.430652623276,12542.19253919819,12238.935449443412,12212.457264369606,1
48,49,11196.404953136645,11125.091957774704,11144.659100830791,11205.987396062097,11149.048065088335,11182.988872532602,1
49,50,11688.914874463317,11483.27505399353,11472.183529327825,11698.634104270624,11507.5731285118,11511.060448557058,1
50,51,12204.753258198152,12146.940010341068,12164.917030148372,12214.522231502238,12171.362443601281,12203.992923364714,1
51,52,11920.47449084131,11802.203325126084,11813.387099030027,11930.200006667414,11826.51711469134,11852.289162334439,1
52,53,10725.032265449383,10577.87596987028,10403.847188957094,10734.645924170167,10601.910116672241,10442.301823840231,1
53,54,12507.05708569814,12479.805796728531,12439.826446296283,12516.788867847907,12504.135252102948,12478.75357489535,1
54,55,4778.978947677499,4429.541088216852,4384.563164239473,4786.583184428253,4448.551680093737,4414.980111242489,1
55,56,12810.880844070005,12744.157258391251,12738.378825665714,12820.64366667729,12768.564314909463,12777.430116094854,1
56,57,12214.231467002688,11999.685869778226,11991.876591636319,12224.030913217257,12024.18448531465,12031.074376494598,1
