,condition,length
0,c2,1.0
1,c2,1.5
2,c2,1.25
3,c2,1.25
4,c2,1.25
5,c2,1.0
6,c2,1.0
7,c2,1.0
8,c2,1.0
9,c2,1.25
10,c2,1.25
11,c2,1.0
12,c2,1.25
13,c2,1.25
14,c2,1.0
15,c2,1.25
16,c2,1.25
17,c2,1.0
18,c2,1.0
19,c2,1.0
20,c2,1.0
21,c2,1.0
22,c2,1.25
23,c2,1.25
24,c2,1.0
25,c2,1.0
26,c2,1.0
27,c2,1.0
28,c2,1.0
29,c2,1.0
30,c2,1.0
31,c2,1.0
32,c2,1.25
33,c2,1.0
34,c2,1.0
35,c2,1.0
36,c2,1.0
37,c2,1.25
38,c2,1.25
39,c2,1.0
40,c2,1.0
41,c2,1.25
42,c2,1.25
43,c2,1.0
44,c2,1.25
45,c2,1.25
46,c2,1.0
47,c2,1.25
48,c2,1.0
49,c2,1.25
50,c2,1.0
51,c2,1.25
52,c2,1.0
53,c2,1.0
54,c2,1.25
55,c2,1.0
56,c2,1.0
57,c2,1.25
58,c2,1.25
59,c2,1.0
60,c2,1.5
61,c2,1.0
62,c2,1.0
63,c2,1.25
64,c2,1.25
65,c2,1.25
66,c2,1.0
67,c2,1.25
68,c2,1.0
69,c2,1.0
70,c2,1.0
71,c2,1.25
72,c2,1.0
73,c2,1.0
74,c2,1.0
75,c2,1.25
76,c2,1.0
77,c2,1.0
78,c2,1.0
79,c2,1.0
80,c2,1.0
81,c2,1.25
82,c2,1.0
83,c2,1.0
84,c2,1.0
85,c2,1.0
86,c2,1.25
87,c2,1.25
88,c2,1.0
89,c2,1.25
90,c2,1.0
91,c2,1.0
92,c2,1.25
93,c2,1.25
94,c2,1.25
95,c2,1.25
96,c2,1.0
97,c2,1.0
98,c2,1.0
99,c2,1.0
100,c2,1.0
101,c2,1.0
102,c2,1.25
103,c2,1.25
104,c2,1.0
105,c2,1.0
106,c2,1.25
107,c2,1.25
108,c2,1.25
109,c2,1.0
110,c2,1.25
111,c2,1.0
112,c2,1.0
113,c2,1.0
114,c2,1.0
115,c2,1.25
116,c2,1.25
117,c2,1.25
118,c2,1.25
119,c2,1.25
120,c3,1.0
121,c3,1.25
122,c3,1.0
123,c3,1.25
124,c3,1.0
125,c3,1.0
126,c3,1.0
127,c3,1.0
128,c3,1.25
129,c3,1.25
130,c3,1.25
131,c3,1.25
132,c3,1.0
133,c3,1.25
134,c3,1.0
135,c3,1.25
136,c3,1.25
137,c3,1.25
138,c3,1.25
139,c3,1.0
140,c3,1.25
141,c3,1.25
142,c3,1.25
143,c3,1.0
144,c3,1.25
145,c3,1.0
146,c3,1.25
147,c3,1.0
148,c3,1.5
149,c3,1.75
150,c3,1.0
151,c3,1.5
152,c3,1.25
153,c3,1.25
154,c3,1.0
155,c3,1.0
156,c3,1.25
157,c3,1.75
158,c3,1.75
159,c3,1.0
160,c3,1.25
161,c3,1.0
162,c3,1.0
163,c3,1.25
164,c3,1.25
165,c3,1.25
166,c3,1.25
167,c3,1.0
168,c3,1.25
169,c3,1.25
170,c3,1.25
171,c3,1.5
172,c3,1.25
173,c3,1.0
174,c3,1.25
175,c3,1.75
176,c3,1.25
177,c3,1.25
178,c3,1.0
179,c3,1.25
180,c3,1.25
181,c3,1.0
182,c3,1.0
183,c3,1.0
184,c3,1.25
185,c3,1.25
186,c3,1.0
187,c3,1.25
188,c3,1.25
189,c3,1.0
190,c3,1.0
191,c3,1.0
192,c3,1.0
