,id,condition,chunk,bl,tr,ts,delta_c
0,128,0,12,32,28,36,4
1,128,0,123,20,5,25,5
2,129,0,12,34,31,38,4
3,129,0,123,17,4,18,1
4,2,0,12,29,8,36,7
5,2,0,123,19,1,24,5
6,4,0,12,26,22,16,-10
7,4,0,123,9,2,9,0
8,6,0,12,21,10,19,-2
9,6,0,123,9,1,13,4
10,134,0,12,19,7,4,-15
11,134,0,123,3,1,0,-3
12,8,0,12,12,3,17,5
13,8,0,123,7,0,4,-3
14,9,0,12,6,11,4,-2
15,9,0,123,0,1,1,1
16,140,0,12,36,33,37,1
17,140,0,123,15,3,13,-2
18,17,0,12,31,30,31,0
19,17,0,123,19,8,19,0
20,18,0,12,28,14,3,-25
21,18,0,123,10,3,1,-9
22,22,0,12,14,33,33,19
23,22,0,123,1,4,12,11
24,24,0,12,26,20,18,-8
25,24,0,123,12,3,12,0
26,26,0,12,16,25,42,26
27,26,0,123,1,7,15,14
28,27,0,12,25,10,36,11
29,27,0,123,18,4,19,1
30,28,0,12,32,19,26,-6
31,28,0,123,13,6,14,1
32,31,0,12,37,29,31,-6
33,31,0,123,19,5,10,-9
34,41,0,12,35,34,41,6
35,41,0,123,23,6,23,0
36,42,0,12,40,33,28,-12
37,42,0,123,21,7,19,-2
38,43,0,12,9,15,10,1
39,43,0,123,0,2,2,2
40,47,0,12,2,3,1,-1
41,47,0,123,1,0,0,-1
42,51,0,12,36,16,32,-4
43,51,0,123,7,1,6,-1
44,61,0,12,15,11,13,-2
45,61,0,123,3,1,7,4
46,63,0,12,34,8,38,4
47,63,0,123,17,0,16,-1
48,66,0,12,31,25,27,-4
49,66,0,123,20,4,24,4
50,72,0,12,12,11,31,19
51,72,0,123,4,1,20,16
52,78,0,12,6,17,4,-2
53,78,0,123,0,3,0,0
54,79,0,12,23,19,26,3
55,79,0,123,13,2,14,1
56,84,0,12,27,16,31,4
57,84,0,123,11,3,13,2
58,85,0,12,21,10,13,-8
59,85,0,123,12,0,6,-6
60,86,0,12,29,23,18,-11
61,86,0,123,14,1,8,-6
62,91,0,12,2,4,3,1
63,91,0,123,0,0,0,0
64,94,0,12,10,2,9,-1
65,94,0,123,6,0,3,-3
66,95,0,12,16,14,16,0
67,95,0,123,5,4,10,5
68,97,0,12,11,12,25,14
69,97,0,123,4,0,7,3
70,99,0,12,10,4,14,4
71,99,0,123,1,0,6,5
72,102,0,12,20,30,30,10
73,102,0,123,6,0,19,13
74,103,0,12,30,16,32,2
75,103,0,123,12,0,19,7
76,104,0,12,36,34,42,6
77,104,0,123,20,6,22,2
78,105,0,12,8,5,20,12
79,105,0,123,3,2,8,5
80,110,0,12,33,19,30,-3
81,110,0,123,18,2,17,-1
82,119,0,12,22,17,21,-1
83,119,0,123,8,6,15,7
84,125,0,12,23,18,33,10
85,125,0,123,17,1,18,1
86,126,0,12,19,11,24,5
87,126,0,123,12,1,13,1
88,127,0,12,31,18,29,-2
89,127,0,123,8,3,11,3
90,130,1,12,20,138,37,17
91,130,1,123,18,126,15,-3
92,3,1,12,19,124,26,7
93,3,1,123,8,118,19,11
94,131,1,12,34,136,30,-4
95,131,1,123,16,124,18,2
96,7,1,12,10,91,36,26
97,7,1,123,2,75,20,18
98,136,1,12,15,85,29,14
99,136,1,123,5,64,20,15
100,10,1,12,28,136,24,-4
101,10,1,123,3,109,8,5
102,13,1,12,19,122,31,12
103,13,1,123,9,107,20,11
104,141,1,12,4,17,1,-3
105,141,1,123,0,0,0,0
106,16,1,12,8,104,39,31
107,16,1,123,3,74,14,11
108,19,1,12,0,7,0,0
109,19,1,123,0,1,0,0
110,20,1,12,21,130,32,11
111,20,1,123,3,88,10,7
112,25,1,12,6,28,11,5
113,25,1,123,0,12,3,3
114,29,1,12,14,96,16,2
115,29,1,123,6,78,5,-1
116,34,1,12,38,127,34,-4
117,34,1,123,23,101,14,-9
118,35,1,12,19,96,28,9
119,35,1,123,12,90,20,8
120,36,1,12,20,116,31,11
121,36,1,123,5,74,23,18
122,37,1,12,0,17,0,0
123,37,1,123,0,14,0,0
124,38,1,12,0,70,30,30
125,38,1,123,0,40,17,17
126,40,1,12,22,80,36,14
127,40,1,123,10,66,27,17
128,46,1,12,32,133,35,3
129,46,1,123,16,128,23,7
130,48,1,12,4,102,26,22
131,48,1,123,0,93,14,14
132,49,1,12,8,17,23,15
133,49,1,123,5,10,14,9
134,52,1,12,22,96,36,14
135,52,1,123,2,34,11,9
136,54,1,12,2,30,6,4
137,54,1,123,0,13,1,1
138,57,1,12,0,18,3,3
139,57,1,123,0,12,1,1
140,59,1,12,20,82,21,1
141,59,1,123,4,49,9,5
142,62,1,12,11,55,16,5
143,62,1,123,4,42,7,3
144,64,1,12,0,1,1,1
145,64,1,123,0,0,1,1
146,65,1,12,27,99,32,5
147,65,1,123,2,51,18,16
148,67,1,12,29,102,34,5
149,67,1,123,17,81,19,2
150,73,1,12,26,110,31,5
151,73,1,123,5,63,15,10
152,74,1,12,0,60,0,0
153,74,1,123,0,28,0,0
154,75,1,12,0,81,4,4
155,75,1,123,0,62,3,3
156,77,1,12,2,89,23,21
157,77,1,123,0,63,16,16
158,80,1,12,29,117,26,-3
159,80,1,123,2,78,14,12
160,83,1,12,14,38,8,-6
161,83,1,123,5,19,4,-1
162,87,1,12,4,40,14,10
163,87,1,123,0,26,6,6
164,89,1,12,10,59,17,7
165,89,1,123,1,39,9,8
166,92,1,12,12,67,23,11
167,92,1,123,2,14,7,5
168,93,1,12,20,88,31,11
169,93,1,123,11,72,26,15
170,96,1,12,5,33,10,5
171,96,1,123,1,28,8,7
