,id,AIC 1 Mixture,AIC 2 Mixture,AIC 3 Mixture,BIC 1 Mixture,BIC 2 Mixture,BIC 3 Mixture,Experiment
0,1,12134.003954254946,12025.660435677139,11998.375976863095,12143.772927559032,12050.082868937352,12037.451870079438,1
1,2,11428.89808914368,10871.145906973468,10872.894692346288,11438.69753535825,10895.644522509892,10912.092477204567,1
2,3,12127.67151367222,11865.004318741281,11820.285337729729,12137.47297500031,11889.507972061507,11859.49118304209,1
3,4,11190.994362766449,10980.678274669513,10959.835444454813,11200.630023909358,11004.767427526784,10998.378089026446,1
4,5,10392.266952716898,10397.742579049169,10325.227766213457,10401.833603118106,10421.659205052189,10363.494367818288,1
5,6,9261.895164884183,9249.592169108957,9241.214146030834,9271.206045584919,9272.869370860795,9278.457668833775,1
6,7,12107.334094935124,11845.796353037484,11826.354690367176,12117.12546033062,11870.274766526223,11865.520151949158,1
7,8,10856.17159957218,10782.576402104545,10787.97647430002,10865.699369389306,10806.395826647358,10826.087553568519,1
8,9,9118.327095638557,9129.863007077576,8899.237379860366,9127.572568286456,9152.976688697325,8936.219270451964,1
9,10,12147.586121482287,11771.164786045563,11732.409450387557,12157.387582810377,11795.668439365789,11771.615295699918,1
10,11,11822.176598152664,11639.757754792754,11640.802326016756,11831.929127376447,11664.139077852207,11679.812442911882,1
11,12,10413.007235155841,10401.07441162804,10240.577924139903,10422.53038069345,10424.88227547206,10278.670506290335,1
12,13,11859.426561176433,11655.11923109096,11645.067883636817,11869.219949839679,11679.602702749073,11684.241438289799,1
13,14,11395.128488180313,11271.106111429739,11271.043888472455,11404.91985357581,11295.584524918479,11310.209350054438,1
14,15,11945.283274000896,11883.402487486757,11900.736472904442,11954.960084402592,11907.594513490994,11939.44371451122,1
15,16,12087.981514489155,11983.119928230666,11986.830331548064,12097.679647054421,12007.365259643833,12025.622861809132,1
16,17,11817.72207148361,11351.934976736055,11370.89956219181,11827.449678266516,11376.253993693319,11409.809989323432,1
17,18,9890.504217802805,9796.441825154943,9798.866804736086,9899.903218483129,9819.939326855752,9836.46280745738,1
18,19,9288.210457787474,9171.017285584428,9110.449219731277,9297.429156273809,9194.064031800266,9147.324013676616,1
19,20,11965.4768593328,11710.891282993904,11690.087699459997,11975.270247996046,11735.374754652017,11729.261254112978,1
20,21,11550.785681198868,11157.062207901581,11102.721441965035,11560.587142526958,11181.565861221807,11141.927287277396,1
21,22,11773.291671435582,11744.70907255456,11748.278796680279,11782.98343118611,11768.93847193088,11787.045835682391,1
22,23,11838.315543597135,11346.69022469275,11302.918335809334,11848.125045137058,11371.213978542559,11342.156341969028,1
23,24,11589.586492240054,11369.128397461758,11367.3884405727,11599.248240709347,11393.282768634988,11406.03543444987,1
24,25,10218.945329125105,10207.034422390932,10197.094562892335,10228.307038482686,10230.438695784884,10234.541400322656,1
25,26,12215.654206837953,11986.666973132145,11970.945320523431,12225.463708377876,12011.190726981955,12010.183326683125,1
26,27,11621.41189876839,11426.483603180552,11403.442375674756,11631.174721375675,11450.890659698764,11442.493666103897,1
27,28,11977.21844118317,11755.656914231431,11748.3380832729,11986.9955861023,11780.099776529258,11787.446662949424,1
28,29,11448.355726000711,11384.432575903873,11359.16544615571,11458.026095173005,11408.60849883461,11397.846922844888,1
29,30,12224.658522145528,12028.410237157117,12027.402406774547,12234.439740385822,12052.863282757853,12066.527279735725,1
30,31,11780.145016177357,11637.871847162682,11647.502391649654,11789.872622960263,11662.190864119946,11686.412818781277,1
31,32,7210.024483838279,7093.146754480795,7080.146814352637,7218.676782784589,7114.77750184657,7114.756010137878,1
32,33,11536.370382752499,11429.555469197776,11463.752027308432,11546.10633157044,11453.895341242627,11502.695822580194,1
33,34,11811.3849408711,11472.079011409158,11423.708416449357,11821.194442411022,11496.602765258967,11462.946422609051,1
34,35,12442.251057539655,12297.05190304376,12306.101182285973,12452.028202458787,12321.494765341587,12345.209761962496,1
35,36,12024.258437988428,11785.644840584513,11777.462607066595,12034.049803383925,11810.123254073253,11816.628068648577,1
36,37,10815.825373189326,10371.74971981509,10342.690892619667,10825.277839994043,10395.380886826884,10380.500759838536,1
37,38,11980.122892359354,11954.00694120078,11964.529531793938,11989.775982806466,11978.139667318563,12003.141893582391,1
38,39,11683.352532073213,11565.613636623155,11580.47320451815,11693.018595538786,11589.778795287086,11619.137458380439,1
39,40,11993.862486521903,11817.870911627902,11830.636574716409,12003.604669111124,11842.226368100955,11869.605305073293,1
