,id,condition,reuse_p,not_reuse_p
0,1,c2,0.8666666666666667,0.1333333333333333
1,5,c2,0.7551020408163265,0.24489795918367352
2,11,c2,0.9354838709677419,0.06451612903225812
3,12,c2,0.0,1.0
4,14,c2,0.9117647058823529,0.08823529411764708
5,15,c2,0.8947368421052632,0.10526315789473684
6,21,c2,0.7534246575342466,0.2465753424657534
7,23,c2,0.627906976744186,0.37209302325581395
8,30,c2,0.0,1.0
9,32,c2,0.6,0.4
10,33,c2,0.8055555555555556,0.19444444444444442
11,39,c2,0.868421052631579,0.13157894736842102
12,44,c2,0.8484848484848485,0.1515151515151515
13,45,c2,0.8125,0.1875
14,50,c2,0.7692307692307693,0.23076923076923073
15,53,c2,0.16666666666666666,0.8333333333333334
16,55,c2,0.5862068965517241,0.4137931034482759
17,56,c2,0.8666666666666667,0.1333333333333333
18,58,c2,0.75,0.25
19,60,c2,0.9285714285714286,0.0714285714285714
20,68,c2,0.6170212765957447,0.3829787234042553
21,69,c2,0.0,1.0
22,70,c2,0.85,0.15000000000000002
23,71,c2,0.8301886792452831,0.16981132075471694
24,76,c2,0.0,1.0
25,81,c2,0.8103448275862069,0.18965517241379315
26,82,c2,0.75,0.25
27,88,c2,0.8490566037735849,0.15094339622641506
28,90,c2,0.7631578947368421,0.23684210526315785
29,100,c2,0.8421052631578947,0.1578947368421053
30,106,c2,0.8813559322033898,0.11864406779661019
31,107,c2,0.7391304347826086,0.26086956521739135
32,108,c2,0.9512195121951219,0.04878048780487809
33,109,c2,0.84375,0.15625
34,112,c2,0.8666666666666667,0.1333333333333333
35,114,c2,0.9148936170212766,0.08510638297872342
36,115,c2,0.8666666666666667,0.1333333333333333
37,118,c2,0.8723404255319149,0.12765957446808507
38,120,c2,0.9333333333333333,0.06666666666666665
39,122,c2,0.7142857142857143,0.2857142857142857
40,132,c2,0.8571428571428571,0.1428571428571429
41,133,c2,0.8653846153846154,0.13461538461538458
42,135,c2,0.9148936170212766,0.08510638297872342
43,137,c2,0.6875,0.3125
44,138,c2,0.8541666666666666,0.14583333333333337
45,139,c2,0.875,0.125
46,142,c2,0.8181818181818182,0.18181818181818177
47,3,c3,0.9104477611940298,0.08955223880597019
48,7,c3,0.958904109589041,0.04109589041095896
49,10,c3,0.8658536585365854,0.13414634146341464
50,13,c3,0.8461538461538461,0.15384615384615385
51,16,c3,1.0,0.0
52,19,c3,0.125,0.875
53,20,c3,0.984375,0.015625
54,25,c3,0.9166666666666666,0.08333333333333337
55,29,c3,0.9076923076923077,0.09230769230769231
56,34,c3,0.6923076923076923,0.3076923076923077
57,35,c3,0.9508196721311475,0.049180327868852514
58,36,c3,0.8923076923076924,0.10769230769230764
59,37,c3,0.625,0.375
60,38,c3,0.9743589743589743,0.02564102564102566
61,40,c3,0.8596491228070176,0.14035087719298245
62,46,c3,0.7142857142857143,0.2857142857142857
63,48,c3,0.8653846153846154,0.13461538461538458
64,49,c3,0.7666666666666667,0.23333333333333328
65,52,c3,0.8524590163934426,0.14754098360655743
66,54,c3,0.9166666666666666,0.08333333333333337
67,57,c3,0.7368421052631579,0.26315789473684215
68,59,c3,0.8958333333333334,0.10416666666666663
69,62,c3,0.8421052631578947,0.1578947368421053
70,64,c3,0.0,1.0
71,65,c3,0.9333333333333333,0.06666666666666665
72,67,c3,0.8923076923076924,0.10769230769230764
73,73,c3,0.9482758620689655,0.051724137931034475
74,74,c3,0.9615384615384616,0.038461538461538436
75,75,c3,1.0,0.0
76,77,c3,0.921875,0.078125
77,80,c3,0.7169811320754716,0.28301886792452835
78,83,c3,0.9090909090909091,0.09090909090909094
79,87,c3,0.8620689655172413,0.13793103448275867
80,89,c3,0.8837209302325582,0.11627906976744184
81,92,c3,0.75,0.25
82,93,c3,0.8103448275862069,0.18965517241379315
83,96,c3,0.90625,0.09375
84,98,c3,0.8620689655172413,0.13793103448275867
85,101,c3,0.0,1.0
86,111,c3,1.0,0.0
87,113,c3,0.625,0.375
88,116,c3,0.8833333333333333,0.1166666666666667
89,117,c3,1.0,0.0
90,121,c3,0.7413793103448276,0.2586206896551724
91,123,c3,0.8769230769230769,0.12307692307692308
92,124,c3,0.9069767441860465,0.09302325581395354
93,130,c3,0.5283018867924528,0.4716981132075472
94,131,c3,0.7352941176470589,0.2647058823529411
95,136,c3,0.7945205479452054,0.20547945205479456
96,141,c3,0.7142857142857143,0.2857142857142857
97,2,Independent,0.6825396825396826,0.31746031746031744
98,4,Independent,0.6779661016949152,0.3220338983050848
99,6,Independent,0.4,0.6
100,8,Independent,0.4375,0.5625
101,9,Independent,0.07692307692307693,0.9230769230769231
102,17,Independent,0.65,0.35
103,18,Independent,0.41025641025641024,0.5897435897435898
104,22,Independent,0.6904761904761905,0.30952380952380953
105,24,Independent,0.6964285714285714,0.3035714285714286
106,26,Independent,0.5531914893617021,0.44680851063829785
107,27,Independent,0.625,0.375
108,28,Independent,0.5645161290322581,0.4354838709677419
109,31,Independent,0.7796610169491526,0.22033898305084743
110,41,Independent,0.6792452830188679,0.3207547169811321
111,42,Independent,0.35555555555555557,0.6444444444444444
112,43,Independent,0.717948717948718,0.28205128205128205
113,47,Independent,0.0,1.0
114,51,Independent,0.6785714285714286,0.3214285714285714
115,61,Independent,0.125,0.875
116,63,Independent,0.42857142857142855,0.5714285714285714
117,66,Independent,0.704225352112676,0.295774647887324
118,72,Independent,0.5238095238095238,0.47619047619047616
119,78,Independent,0.35714285714285715,0.6428571428571428
120,79,Independent,0.6363636363636364,0.36363636363636365
121,84,Independent,0.6078431372549019,0.3921568627450981
122,85,Independent,0.8260869565217391,0.17391304347826086
123,86,Independent,0.6428571428571429,0.3571428571428571
124,91,Independent,0.3076923076923077,0.6923076923076923
125,94,Independent,0.0,1.0
126,95,Independent,0.6610169491525424,0.3389830508474576
127,97,Independent,0.4782608695652174,0.5217391304347826
128,99,Independent,0.675,0.32499999999999996
129,102,Independent,0.75,0.25
130,103,Independent,0.74,0.26
131,104,Independent,0.76,0.24
132,105,Independent,0.8301886792452831,0.16981132075471694
133,110,Independent,0.37735849056603776,0.6226415094339622
134,119,Independent,0.75,0.25
