,id,condition,chunk,bl,tr,ts,delta_c
0,2,fast,high2,10,100,31,21
1,2,fast,medium2,48,168,58,10
2,2,fast,sz3,10,126,39,29
3,2,fast,sz4,3,72,20,17
4,6,fast,high2,8,186,28,20
5,6,fast,medium2,6,168,14,8
6,6,fast,sz3,5,249,15,10
7,6,fast,sz4,1,175,4,3
8,10,fast,high2,47,154,65,18
9,10,fast,medium2,54,185,63,9
10,10,fast,sz3,57,218,91,34
11,10,fast,sz4,34,150,68,34
12,12,fast,high2,51,189,62,11
13,12,fast,medium2,36,167,48,12
14,12,fast,sz3,46,245,65,19
15,12,fast,sz4,27,165,41,14
16,13,fast,high2,19,166,60,41
17,13,fast,medium2,8,131,54,46
18,13,fast,sz3,4,167,70,66
19,13,fast,sz4,0,104,40,40
20,14,fast,high2,49,158,67,18
21,14,fast,medium2,34,102,45,11
22,14,fast,sz3,49,138,72,23
23,14,fast,sz4,33,78,49,16
24,15,fast,high2,8,81,44,36
25,15,fast,medium2,41,154,56,15
26,15,fast,sz3,10,115,63,53
27,15,fast,sz4,4,73,42,38
28,16,fast,high2,43,155,56,13
29,16,fast,medium2,36,121,44,8
30,16,fast,sz3,38,159,62,24
31,16,fast,sz4,22,85,40,18
32,19,fast,high2,55,182,72,17
33,19,fast,medium2,16,102,51,35
34,19,fast,sz3,27,157,75,48
35,19,fast,sz4,16,102,48,32
36,21,fast,high2,12,118,40,28
37,21,fast,medium2,29,144,50,21
38,21,fast,sz3,11,136,53,42
39,21,fast,sz4,4,70,36,32
40,23,fast,high2,10,73,45,35
41,23,fast,medium2,44,149,46,2
42,23,fast,sz3,10,81,49,39
43,23,fast,sz4,2,45,27,25
44,25,fast,high2,28,181,66,38
45,25,fast,medium2,15,138,50,35
46,25,fast,sz3,13,199,72,59
47,25,fast,sz4,6,123,48,42
48,26,fast,high2,40,168,62,22
49,26,fast,medium2,46,147,56,10
50,26,fast,sz3,45,195,78,33
51,26,fast,sz4,27,132,55,28
52,28,fast,high2,38,132,51,13
53,28,fast,medium2,28,125,53,25
54,28,fast,sz3,28,157,68,40
55,28,fast,sz4,16,111,48,32
56,29,fast,high2,54,146,43,-11
57,29,fast,medium2,49,131,44,-5
58,29,fast,sz3,74,164,49,-25
59,29,fast,sz4,57,104,28,-29
60,30,fast,high2,41,145,50,9
61,30,fast,medium2,9,48,31,22
62,30,fast,sz3,7,57,31,24
63,30,fast,sz4,1,19,11,10
64,32,fast,high2,46,185,64,18
65,32,fast,medium2,34,170,57,23
66,32,fast,sz3,40,246,84,44
67,32,fast,sz4,25,177,58,33
68,35,fast,high2,1,144,68,67
69,35,fast,medium2,4,106,55,51
70,35,fast,sz3,0,144,87,87
71,35,fast,sz4,0,98,58,58
72,37,fast,high2,7,60,32,25
73,37,fast,medium2,35,169,64,29
74,37,fast,sz3,9,83,47,38
75,37,fast,sz4,3,48,25,22
76,38,fast,high2,35,142,59,24
77,38,fast,medium2,19,120,47,28
78,38,fast,sz3,23,163,64,41
79,38,fast,sz4,15,109,39,24
80,39,fast,high2,40,161,67,27
81,39,fast,medium2,20,77,51,31
82,39,fast,sz3,24,102,77,53
83,39,fast,sz4,14,52,53,39
84,40,fast,high2,30,159,59,29
85,40,fast,medium2,13,95,35,22
86,40,fast,sz3,15,123,52,37
87,40,fast,sz4,7,69,26,19
88,42,fast,high2,37,172,56,19
89,42,fast,medium2,33,130,42,9
90,42,fast,sz3,43,205,64,21
91,42,fast,sz4,29,157,47,18
92,46,fast,high2,0,82,17,17
93,46,fast,medium2,0,61,11,11
94,46,fast,sz3,0,77,12,12
95,46,fast,sz4,0,45,7,7
96,47,fast,high2,48,136,54,6
97,47,fast,medium2,52,112,37,-15
98,47,fast,sz3,67,126,52,-15
99,47,fast,sz4,46,68,33,-13
100,50,fast,high2,39,114,45,6
101,50,fast,medium2,63,152,56,-7
102,50,fast,sz3,62,161,64,2
103,50,fast,sz4,43,102,45,2
104,52,fast,high2,52,200,73,21
105,52,fast,medium2,22,160,61,39
106,52,fast,sz3,28,250,96,68
107,52,fast,sz4,12,179,73,61
108,56,fast,high2,56,141,46,-10
109,56,fast,medium2,40,91,40,0
110,56,fast,sz3,53,111,42,-11
111,56,fast,sz4,25,70,23,-2
112,57,fast,high2,28,121,43,15
113,57,fast,medium2,25,158,58,33
114,57,fast,sz3,25,152,58,33
115,57,fast,sz4,13,91,39,26
116,58,fast,high2,11,130,59,48
117,58,fast,medium2,11,128,57,46
118,58,fast,sz3,6,164,78,72
119,58,fast,sz4,1,118,54,53
120,60,fast,high2,43,137,47,4
121,60,fast,medium2,58,168,54,-4
122,60,fast,sz3,60,185,60,0
123,60,fast,sz4,32,99,31,-1
124,61,fast,high2,53,136,40,-13
125,61,fast,medium2,52,128,47,-5
126,61,fast,sz3,66,144,44,-22
127,61,fast,sz4,39,83,22,-17
128,62,fast,high2,35,184,66,31
129,62,fast,medium2,19,117,46,27
130,62,fast,sz3,28,168,62,34
131,62,fast,sz4,18,105,35,17
132,63,fast,high2,43,166,26,-17
133,63,fast,medium2,47,132,18,-29
134,63,fast,sz3,45,174,14,-31
135,63,fast,sz4,20,107,4,-16
136,64,fast,high2,60,190,74,14
137,64,fast,medium2,30,143,61,31
138,64,fast,sz3,50,222,100,50
139,64,fast,sz4,32,161,78,46
140,67,fast,high2,58,187,63,5
141,67,fast,medium2,24,159,51,27
142,67,fast,sz3,40,213,76,36
143,67,fast,sz4,26,145,54,28
144,68,fast,high2,2,46,10,8
145,68,fast,medium2,0,25,3,3
146,68,fast,sz3,0,19,2,2
147,68,fast,sz4,0,7,1,1
148,70,fast,high2,17,71,22,5
149,70,fast,medium2,27,129,50,23
150,70,fast,sz3,15,86,31,16
151,70,fast,sz4,7,51,16,9
152,71,fast,high2,52,202,73,21
153,71,fast,medium2,20,143,52,32
154,71,fast,sz3,31,226,88,57
155,71,fast,sz4,17,164,69,52
156,81,fast,high2,44,178,67,23
157,81,fast,medium2,21,119,41,20
158,81,fast,sz3,29,176,60,31
159,81,fast,sz4,17,123,40,23
160,82,fast,high2,34,183,70,36
161,82,fast,medium2,0,37,44,44
162,82,fast,sz3,0,60,65,65
163,82,fast,sz4,0,32,42,42
164,84,fast,high2,0,115,2,2
165,84,fast,medium2,0,72,1,1
166,84,fast,sz3,0,116,0,0
167,84,fast,sz4,0,87,0,0
168,85,fast,high2,46,142,50,4
169,85,fast,medium2,21,111,40,19
170,85,fast,sz3,25,149,46,21
171,85,fast,sz4,11,98,29,18
172,88,fast,high2,0,63,1,1
173,88,fast,medium2,0,60,1,1
174,88,fast,sz3,0,66,0,0
175,88,fast,sz4,0,34,0,0
176,89,fast,high2,54,162,63,9
177,89,fast,medium2,41,115,52,11
178,89,fast,sz3,52,158,78,26
179,89,fast,sz4,29,93,53,24
180,1,accurate,high2,62,135,70,8
181,1,accurate,medium2,35,109,60,25
182,1,accurate,sz3,55,126,91,36
183,1,accurate,sz4,37,71,66,29
184,3,accurate,high2,28,150,65,37
185,3,accurate,medium2,11,99,46,35
186,3,accurate,sz3,14,126,70,56
187,3,accurate,sz4,5,70,48,43
188,4,accurate,high2,56,165,57,1
189,4,accurate,medium2,35,135,36,1
190,4,accurate,sz3,42,167,50,8
191,4,accurate,sz4,23,100,27,4
192,5,accurate,high2,52,155,54,2
193,5,accurate,medium2,56,172,60,4
194,5,accurate,sz3,66,206,76,10
195,5,accurate,sz4,40,125,54,14
196,7,accurate,high2,54,104,70,16
197,7,accurate,medium2,52,61,62,10
198,7,accurate,sz3,65,72,92,27
199,7,accurate,sz4,40,38,66,26
200,8,accurate,high2,17,143,55,38
201,8,accurate,medium2,19,106,50,31
202,8,accurate,sz3,10,112,63,53
203,8,accurate,sz4,2,44,38,36
204,9,accurate,high2,44,119,45,1
205,9,accurate,medium2,19,58,28,9
206,9,accurate,sz3,23,64,33,10
207,9,accurate,sz4,17,38,13,-4
208,11,accurate,high2,39,112,46,7
209,11,accurate,medium2,28,125,43,15
210,11,accurate,sz3,24,110,48,24
211,11,accurate,sz4,9,58,27,18
212,17,accurate,high2,39,204,61,22
213,17,accurate,medium2,10,103,25,15
214,17,accurate,sz3,18,172,41,23
215,17,accurate,sz4,11,98,28,17
216,18,accurate,high2,43,165,58,15
217,18,accurate,medium2,33,139,64,31
218,18,accurate,sz3,40,180,90,50
219,18,accurate,sz4,22,114,66,44
220,20,accurate,high2,61,172,66,5
221,20,accurate,medium2,54,140,50,-4
222,20,accurate,sz3,87,209,77,-10
223,20,accurate,sz4,69,144,53,-16
224,22,accurate,high2,46,203,73,27
225,22,accurate,medium2,42,179,54,12
226,22,accurate,sz3,61,275,88,27
227,22,accurate,sz4,45,200,67,22
228,24,accurate,high2,49,147,65,16
229,24,accurate,medium2,13,52,16,3
230,24,accurate,sz3,15,57,23,8
231,24,accurate,sz4,4,25,9,5
232,27,accurate,high2,18,104,82,64
233,27,accurate,medium2,20,79,61,41
234,27,accurate,sz3,23,98,103,80
235,27,accurate,sz4,15,66,79,64
236,31,accurate,high2,37,106,37,0
237,31,accurate,medium2,46,52,40,-6
238,31,accurate,sz3,49,61,40,-9
239,31,accurate,sz4,31,25,18,-13
240,33,accurate,high2,7,100,48,41
241,33,accurate,medium2,18,141,52,34
242,33,accurate,sz3,11,115,58,47
243,33,accurate,sz4,7,61,29,22
244,34,accurate,high2,48,133,49,1
245,34,accurate,medium2,50,162,44,-6
246,34,accurate,sz3,46,174,54,8
247,34,accurate,sz4,18,105,35,17
248,36,accurate,high2,36,162,63,27
249,36,accurate,medium2,51,166,60,9
250,36,accurate,sz3,48,200,85,37
251,36,accurate,sz4,30,127,62,32
252,41,accurate,high2,43,95,41,-2
253,41,accurate,medium2,31,85,26,-5
254,41,accurate,sz3,28,66,27,-1
255,41,accurate,sz4,10,21,9,-1
256,43,accurate,high2,30,116,47,17
257,43,accurate,medium2,31,122,57,26
258,43,accurate,sz3,25,125,68,43
259,43,accurate,sz4,9,72,46,37
260,44,accurate,high2,31,108,41,10
261,44,accurate,medium2,54,150,41,-13
262,44,accurate,sz3,41,140,51,10
263,44,accurate,sz4,22,81,32,10
264,45,accurate,high2,61,192,53,-8
265,45,accurate,medium2,52,187,58,6
266,45,accurate,sz3,72,260,66,-6
267,45,accurate,sz4,45,173,37,-8
268,48,accurate,high2,62,189,47,-15
269,48,accurate,medium2,55,186,49,-6
270,48,accurate,sz3,75,264,51,-24
271,48,accurate,sz4,48,191,25,-23
272,49,accurate,high2,44,126,63,19
273,49,accurate,medium2,54,156,58,4
274,49,accurate,sz3,56,171,85,29
275,49,accurate,sz4,35,113,65,30
276,51,accurate,high2,10,73,59,49
277,51,accurate,medium2,15,96,48,33
278,51,accurate,sz3,2,71,64,62
279,51,accurate,sz4,0,34,37,37
280,53,accurate,high2,63,157,55,-8
281,53,accurate,medium2,56,135,49,-7
282,53,accurate,sz3,85,164,67,-18
283,53,accurate,sz4,60,98,44,-16
284,54,accurate,high2,43,97,45,2
285,54,accurate,medium2,52,111,35,-17
286,54,accurate,sz3,56,83,36,-20
287,54,accurate,sz4,33,25,13,-20
288,55,accurate,high2,44,157,66,22
289,55,accurate,medium2,25,73,47,22
290,55,accurate,sz3,33,98,73,40
291,55,accurate,sz4,15,47,53,38
292,59,accurate,high2,41,148,46,5
293,59,accurate,medium2,30,113,56,26
294,59,accurate,sz3,36,136,56,20
295,59,accurate,sz4,18,77,29,11
296,65,accurate,high2,42,151,52,10
297,65,accurate,medium2,46,83,34,-12
298,65,accurate,sz3,44,107,37,-7
299,65,accurate,sz4,20,57,22,2
300,66,accurate,high2,55,190,72,17
301,66,accurate,medium2,28,98,60,32
302,66,accurate,sz3,43,154,95,52
303,66,accurate,sz4,27,93,71,44
