,id,condition,chunk,bl,tr,ts,delta_c
0,9,fast,high2,10,107,31,21
1,9,fast,medium2,48,172,62,14
2,9,fast,sz3,10,135,39,29
3,9,fast,sz4,3,76,20,17
4,45,fast,high2,8,186,28,20
5,45,fast,medium2,6,168,14,8
6,45,fast,sz3,5,249,15,10
7,45,fast,sz4,1,175,4,3
8,69,fast,high2,47,154,65,18
9,69,fast,medium2,54,185,63,9
10,69,fast,sz3,57,218,91,34
11,69,fast,sz4,34,150,68,34
12,82,fast,high2,14,62,39,25
13,82,fast,medium2,16,55,42,26
14,82,fast,sz3,7,37,43,36
15,82,fast,sz4,2,18,23,21
16,83,fast,high2,50,189,62,12
17,83,fast,medium2,35,166,48,13
18,83,fast,sz3,44,244,65,21
19,83,fast,sz4,24,164,41,17
20,85,fast,high2,20,154,64,44
21,85,fast,medium2,6,94,54,48
22,85,fast,sz3,5,113,74,69
23,85,fast,sz4,1,55,50,49
24,88,fast,high2,11,154,59,48
25,88,fast,medium2,5,110,48,43
26,88,fast,sz3,3,140,64,61
27,88,fast,sz4,0,81,36,36
28,97,fast,high2,57,175,71,14
29,97,fast,medium2,41,118,51,10
30,97,fast,sz3,61,170,84,23
31,97,fast,sz4,43,102,62,19
32,99,fast,high2,8,81,44,36
33,99,fast,medium2,41,154,56,15
34,99,fast,sz3,10,115,63,53
35,99,fast,sz4,4,73,42,38
36,100,fast,high2,34,139,53,19
37,100,fast,medium2,30,99,39,9
38,100,fast,sz3,24,123,54,30
39,100,fast,sz4,10,58,34,24
40,107,fast,high2,56,186,72,16
41,107,fast,medium2,19,105,52,33
42,107,fast,sz3,31,163,77,46
43,107,fast,sz4,18,106,49,31
44,109,fast,high2,12,118,40,28
45,109,fast,medium2,29,144,50,21
46,109,fast,sz3,11,136,53,42
47,109,fast,sz4,4,70,36,32
48,111,fast,high2,12,76,47,35
49,111,fast,medium2,46,151,49,3
50,111,fast,sz3,13,87,53,40
51,111,fast,sz4,3,50,30,27
52,116,fast,high2,19,134,63,44
53,116,fast,medium2,1,20,35,34
54,116,fast,sz3,1,27,47,46
55,116,fast,sz4,0,13,27,27
56,118,fast,high2,32,91,45,13
57,118,fast,medium2,24,64,41,17
58,118,fast,sz3,26,52,49,23
59,118,fast,sz4,10,14,29,19
60,119,fast,high2,23,175,66,43
61,119,fast,medium2,11,132,49,38
62,119,fast,sz3,10,184,70,60
63,119,fast,sz4,6,112,45,39
64,120,fast,high2,47,180,64,17
65,120,fast,medium2,49,159,58,9
66,120,fast,sz3,57,217,80,23
67,120,fast,sz4,39,151,56,17
68,122,fast,high2,38,132,51,13
69,122,fast,medium2,28,125,53,25
70,122,fast,sz3,28,157,68,40
71,122,fast,sz4,16,111,48,32
72,123,fast,high2,28,125,64,36
73,123,fast,medium2,26,95,61,35
74,123,fast,sz3,25,101,87,62
75,123,fast,sz4,13,48,60,47
76,124,fast,high2,54,150,43,-11
77,124,fast,medium2,50,131,44,-6
78,124,fast,sz3,76,167,49,-27
79,124,fast,sz4,60,108,28,-32
80,125,fast,high2,7,111,45,38
81,125,fast,medium2,4,70,35,31
82,125,fast,sz3,0,77,39,39
83,125,fast,sz4,0,28,21,21
84,126,fast,high2,41,145,50,9
85,126,fast,medium2,9,48,31,22
86,126,fast,sz3,7,57,31,24
87,126,fast,sz4,1,19,11,10
88,128,fast,high2,41,179,63,22
89,128,fast,medium2,32,160,56,24
90,128,fast,sz3,36,227,83,47
91,128,fast,sz4,22,160,58,36
92,132,fast,high2,3,159,70,67
93,132,fast,medium2,4,118,57,53
94,132,fast,sz3,0,168,94,94
95,132,fast,sz4,0,118,65,65
96,134,fast,high2,7,60,32,25
97,134,fast,medium2,35,169,64,29
98,134,fast,sz3,9,83,47,38
99,134,fast,sz4,3,48,25,22
100,135,fast,high2,35,142,59,24
101,135,fast,medium2,19,120,47,28
102,135,fast,sz3,23,163,64,41
103,135,fast,sz4,15,109,39,24
104,136,fast,high2,47,176,70,23
105,136,fast,medium2,23,90,59,36
106,136,fast,sz3,31,118,91,60
107,136,fast,sz4,18,60,66,48
108,137,fast,high2,30,159,59,29
109,137,fast,medium2,13,95,35,22
110,137,fast,sz3,15,123,52,37
111,137,fast,sz4,7,69,26,19
112,139,fast,high2,37,172,56,19
